HR,RMSE,MAE,MAPE,R2,Site
1,4.31289570690721,2.9916198576980584,0.2698128209895064,0.807195091004397,Banqiao
8,7.180812811160645,5.249931184473476,0.4908979671202774,0.42045944714849337,Banqiao
16,8.370773425414438,6.253927829938299,0.618112314146656,0.2536709573893907,Banqiao
24,8.612008594049684,6.46667859430212,0.6488926626768852,0.2016815978403408,Banqiao
32,8.722604979539224,6.663624268490664,0.671426968024859,0.1745438485145151,Banqiao
40,8.936505172188777,6.876835055323843,0.7202107326997438,0.1401561491431308,Banqiao
48,8.822185915318846,6.926831338015285,0.7594042648503027,0.1368963438407924,Banqiao
56,9.200366363414407,7.272592037411756,0.806774133911031,0.10668540974049834,Banqiao
64,9.211853834819166,7.311798584465332,0.8015871218476524,0.09122066242981008,Banqiao
72,8.880130744847955,6.893409121707044,0.7467063327059267,0.11838164570439158,Banqiao
