HR,RMSE,MAE,MAPE,R2,Site
1,5.477000537169924,4.047225166481438,0.39693925740182867,0.6704634119614823,Banqiao
8,6.888165105579606,5.197549311646513,0.5271059251111446,0.4797113535884676,Banqiao
16,7.9463564366035095,5.869718197131406,0.516969530866979,0.27851525627896223,Banqiao
24,8.269489521330902,6.123082823991998,0.5826685754840678,0.2470758338464294,Banqiao
32,8.98865421975222,6.96380879477184,0.7660506529169078,0.13232146773875297,Banqiao
40,8.914801044018553,6.883862011864093,0.7572351204614077,0.11137776933692778,Banqiao
48,8.895931943583065,6.852429017998826,0.7276305041077316,0.13293576376186822,Banqiao
56,9.789058778669325,7.9544739534820605,0.9548583667809064,-0.05008385899472345,Banqiao
64,9.029681944205311,6.958948725146605,0.7386454712978208,0.11842588914752361,Banqiao
72,9.234312499968778,7.191424891488468,0.7786146792241575,0.07543859917418538,Banqiao
